Prediction (Amy),Prediction (Bella),Prediction (Colleen),Prediction (Fizz),Prediction (Holly),Prediction (Ister),Prediction (Liboulen),Prediction (Linestra),Prediction (Ziqual),Succeeded?
99,6,55,56,58,53,62.7,53.3,15,0
1,3,58.4,60,59,55,63.7,56.7,25,0
1,11,56.4,55,65,56,45.7,54.7,59,0
1,9,72.9,62,72,60,75.7,71.2,90,0
1,16,80.6,55,68,54,83.7,78.9,20,0
1,14,73.7,57,72,60,63.7,72,59,1
99,14,76.1,52,65,60,84.7,74.4,69,1
99,13,80.5,56,66,55,92.7,78.8,15,1
99,15,92.6,63,71,52,94.7,90.7,10,1
99,17,74.6,56,67,56,79.7,72.9,6,0
1,12,62,68,75,59,66.7,60.3,81,1
99,8,62,51,64,56,67.7,60.3,53,0
99,10,57.7,67,69,58,67.7,56,63,0
1,16,64.2,61,70,59,66.7,62.5,54,0
1,14,78.9,54,65,59,75.7,77.2,62,1
1,11,75,60,67,55,68.7,73.3,30,1
99,0,59.8,59,68,58,54.7,58.1,63,1
1,0,66.8,46,60,51,70.7,65.1,9,0
1,0,67,59,59,55,80.7,65.3,10,0
1,0,77.3,61,66,52,83.7,75.6,8,1
1,14,80.7,63,72,54,81.7,79,27,1
99,11,58.7,56,68,57,61.7,57,70,1
1,13,77.6,58,66,57,91.7,75.9,34,0
99,6,61.7,58,56,60,75.7,60,10,1
99,5,53.5,50,55,55,53.7,51.8,50,0
1,8,74.1,56,56,53,87.7,72.4,24,0
1,18,75.9,48,60,58,83.7,74.2,40,0
1,15,65.4,65,69,54,63.7,63.7,20,1
1,14,88.9,58,70,59,89.7,87.2,44,1
1,11,72.4,60,67,53,67.7,70.7,29,1
1,10,71,63,70,52,78.7,69.3,20,1
99,9,60.6,60,63,54,55.7,58.9,12,1
99,5,36.2,65,60,54,41.7,34.5,28,1
1,15,80.3,65,72,54,89.7,78.6,28,1
99,2,35,58,42,53,45.7,33.3,12,0
1,12,62.4,59,66,56,66.7,60.7,41,1
1,8,74.4,68,69,57,87.7,72.7,49,1
1,10,59.4,57,58,56,58.7,57.7,24,1
1,14,83.8,54,66,55,87.7,82.1,39,1
1,10,66.5,63,66,56,76.7,64.8,54,1
1,11,53,52,60,59,59.7,51.3,26,1
99,11,72.9,58,68,58,72.7,71.2,40,1
1,11,68.2,52,65,57,70.7,66.5,34,0
99,16,85.4,65,75,59,80.7,83.7,53,1
99,13,73,51,61,59,79.7,71.3,72,0
1,11,63.3,63,63,54,73.7,61.6,31,1
1,9,48.6,62,52,52,55.7,46.9,2,0
1,6,52.3,65,55,57,56.7,50.6,27,1
1,16,74.5,49,54,52,75.7,72.8,8,0
99,13,60.5,60,62,57,64.7,58.8,34,1
99,14,80.9,59,77,56,71.7,79.2,59,1
1,15,84.8,60,73,57,81.7,83.1,49,1
99,6,48.1,67,63,56,59.7,46.4,60,0
1,7,65.7,61,62,57,60.7,64,28,0
99,13,67.7,65,66,54,77.7,66,27,1
1,7,53.1,67,62,58,70.7,51.4,63,1
99,8,61.5,59,60,59,67.7,59.8,35,1
99,18,93.2,53,75,56,90.7,91.3,42,1
99,6,49.7,63,57,59,50.7,48,36,1
1,15,82.1,58,56,51,80.7,80.4,2,1
99,8,61.5,57,59,52,52.7,59.8,4,0
1,12,64.2,52,61,57,67.7,62.5,21,0
1,8,64.2,61,65,60,68.7,62.5,60,1
99,11,57.8,63,65,54,56.7,56.1,20,0
1,12,69,56,66,59,59.7,67.3,44,1
1,9,70.7,57,65,58,74.7,69,31,1
1,12,66.4,55,51,52,73.7,64.7,6,1
1,5,41.5,67,63,60,48.7,39.8,60,0
99,13,62.8,58,65,56,65.7,61.1,17,0
99,17,81.8,52,68,53,87.7,80.1,17,0
1,16,93.9,54,65,51,93.7,92,2,1
1,15,80.3,65,75,59,84.7,78.6,72,1
1,7,60.6,58,60,51,78.7,58.9,8,1
1,14,72,49,60,55,77.7,70.3,10,0
99,4,59.1,57,64,54,62.7,57.4,39,0
1,11,65.4,56,58,55,69.7,63.7,29,0
99,15,82.2,49,63,58,80.7,80.5,15,1
99,10,76,64,65,57,75.7,74.3,49,1
1,8,69.3,61,68,58,75.7,67.6,63,1
1,15,70.5,57,69,59,70.7,68.8,71,1
1,12,69.7,67,72,56,54.7,68,54,1
1,6,52.8,54,61,60,56.7,51.1,90,1
1,10,66.9,58,53,54,66.7,65.2,4,0
99,10,50.2,54,53,53,49.7,48.5,29,0
1,12,73.7,62,77,55,61.7,72,50,0
99,7,38.9,59,59,58,39.7,37.2,48,0
1,14,74.4,56,59,55,83.7,72.7,30,0
1,15,79.7,56,58,51,89.7,78,6,1
1,9,70.2,62,66,57,74.7,68.5,63,1
1,14,73.7,60,70,58,88.7,72,56,1
1,8,61.9,63,68,54,52.7,60.2,40,1
1,12,61.6,64,60,53,76.7,59.9,12,1
99,15,70.4,64,61,53,75.7,68.7,17,1
99,9,51.2,54,53,53,56.7,49.5,9,0
1,17,75,64,65,58,74.7,73.3,40,0
1,14,73.5,63,71,54,73.7,71.8,32,0
99,13,82.3,64,74,55,83.7,80.6,45,1
99,10,64.7,61,58,52,65.7,63,15,1
1,9,77.6,58,64,55,82.7,75.9,40,1
1,4,45.3,60,52,55,46.7,43.6,45,1
1,7,53.6,57,53,54,65.7,51.9,16,0
99,12,76,56,62,53,77.7,74.3,21,1
99,8,62,50,59,57,62.7,60.3,34,0
1,11,61.2,52,53,53,62.7,59.5,9,0
1,17,78,60,68,60,85.7,76.3,49,1
1,8,69.7,64,64,58,75.7,68,23,1
1,9,79.8,60,64,57,88.7,78.1,49,0
99,7,73,58,57,55,78.7,71.3,24,0
1,15,82.7,51,65,52,80.7,81,12,0
1,11,56.4,59,63,60,65.7,54.7,59,0
1,10,84,47,59,52,98.7,82.3,8,0
1,10,73.9,55,67,56,94.7,72.2,54,1
1,10,61.6,52,53,53,64.7,59.9,9,0
1,8,52.4,50,51,53,58.7,50.7,17,0
1,10,69.5,63,69,58,67.7,67.8,79,1
1,11,73.2,54,70,57,67.7,71.5,70,1
99,8,69.2,56,64,57,70.7,67.5,56,1
99,10,57.5,48,56,54,52.7,55.8,12,1
1,5,46.9,58,57,53,55.7,45.2,29,1
1,4,50.4,64,50,55,63.7,48.7,30,0
1,12,73.8,53,62,52,81.7,72.1,15,1
99,14,71.7,50,59,55,67.7,70,15,0
99,14,73.4,55,60,57,63.7,71.7,28,1
1,18,75.9,46,52,57,83.7,74.2,7,0
1,7,43.6,54,55,53,46.7,41.9,26,1
99,11,73.1,57,61,56,82.7,71.4,36,1
1,11,62.9,59,65,60,63.7,61.2,80,1
99,2,49.9,52,53,57,56.7,48.2,69,0
1,12,76.9,54,70,59,82.7,75.2,45,0
99,12,83.6,59,69,56,90.7,81.9,24,1
1,11,80,53,60,59,90.7,78.3,17,0
1,11,70.2,62,64,59,71.7,68.5,45,0
99,9,65,64,63,60,72.7,63.3,90,1
1,15,85.2,52,65,56,86.7,83.5,17,1
99,12,76.5,51,62,54,72.7,74.8,23,0
1,9,74.8,61,66,56,76.7,73.1,12,1
1,17,89.9,47,65,55,90.7,88.2,10,0
1,12,64.3,51,62,54,67.7,62.6,28,0
99,9,70.2,54,62,53,74.7,68.5,17,0
1,9,63.3,52,55,55,71.7,61.6,29,1
1,10,73.6,64,68,57,79.7,71.9,48,0
1,5,56.2,59,55,54,69.7,54.5,28,1
99,12,74.4,61,68,52,66.7,72.7,18,1
1,10,69.6,52,57,53,77.7,67.9,9,1
1,16,71.2,49,55,52,79.7,69.5,4,0
1,2,48,49,56,56,50.7,46.3,60,0
1,14,78.7,59,66,56,85.7,77,36,1
1,9,56.4,65,58,54,68.7,54.7,15,1
99,12,69.1,64,63,53,74.7,67.4,20,1
99,8,66.2,66,66,59,69.7,64.5,90,1
99,10,71.5,50,59,57,83.7,69.8,63,1
99,9,50.9,62,56,58,51.7,49.2,55,1
99,15,70.5,46,64,53,70.7,68.8,27,1
99,15,67.6,60,64,51,74.7,65.9,10,1
1,14,76.6,65,70,59,79.7,74.9,53,1
1,8,55.3,61,64,54,59.7,53.6,28,0
1,9,56.1,56,60,55,58.7,54.4,15,1
1,8,52.8,55,59,57,63.7,51.1,27,0
1,8,61.8,47,55,52,62.7,60.1,12,0
1,9,70.9,58,54,56,74.7,69.2,6,1
1,18,83.5,48,60,59,86.7,81.8,26,1
1,14,71.8,67,75,56,72.7,70.1,53,1
1,18,88.8,69,75,58,88.7,87.1,79,1
99,5,56.2,51,54,0,64.7,54.5,54,1
1,13,72.3,60,66,0,79.7,70.6,45,1
1,8,56.8,62,65,0,60.7,55.1,63,0
1,19,91.4,55,74,0,88.7,89.7,17,1
1,17,80,54,64,0,81.7,78.3,34,0
1,9,58.2,64,71,57,49.7,56.5,49,1
1,11,73.3,49,65,58,82.7,71.6,48,0
1,13,82.1,60,71,58,83.7,80.4,55,1
1,2,36,54,42,52,45.7,34.3,2,0
99,6,59.2,53,56,59,64.7,57.5,54,0
1,17,74.6,59,62,56,79.7,72.9,41,1
1,12,69.3,57,68,58,59.7,67.6,31,0
1,3,46.8,60,54,57,48.7,45.1,48,0
1,7,57.9,66,71,59,52.7,56.2,62,0
1,8,61.6,64,63,53,72.7,59.9,18,1
99,17,72.6,56,63,55,78.7,70.9,50,1
99,7,63.3,53,49,54,64.7,61.6,16,0
99,5,65.7,53,56,52,68.7,64,16,1
1,12,64,60,61,55,72.7,62.3,39,1
1,14,86.1,58,58,53,83.7,84.4,3,1
1,8,66.6,54,60,53,69.7,64.9,14,1
1,12,68.8,51,62,58,0,67.1,31,0
99,12,60.1,53,50,56,0,58.4,12,0
99,16,83,55,61,55,89.7,81.3,19,0
1,18,85.9,57,70,55,87.7,84.2,10,0
1,13,84.3,55,59,54,84.7,82.6,20,1
1,7,61,56,50,55,73.7,59.3,14,1
1,9,53.9,61,61,52,62.7,52.2,12,1
99,12,71.1,53,59,54,85.7,69.4,16,0
99,14,69,63,0,57,86.7,67.3,28,1
99,9,58.9,50,0,60,64.7,57.2,70,1
99,2,47.7,53,0,56,50.7,46,41,0
1,13,80.3,52,60,53,82.7,78.6,24,0
1,9,77.1,60,69,59,87.7,75.4,63,1
99,8,69.5,55,57,56,80.7,67.8,36,1
1,11,63.3,62,67,57,73.7,61.6,56,1
1,10,52.6,60,65,57,60.7,50.9,56,1
1,5,58.6,66,68,59,70.7,56.9,63,1
1,10,54.8,57,60,60,56.7,53.1,19,1
1,16,75.9,58,70,55,71.7,74.2,50,1
1,13,72.7,57,67,58,64.7,71,32,1
99,14,85.7,65,66,54,83.7,84,24,1
1,10,56.9,48,55,54,47.7,55.2,4,0
1,14,71,59,60,54,77.7,69.3,8,0
1,17,80.5,62,69,57,76.7,78.8,56,1
99,10,67,56,62,53,66.7,65.3,29,1
99,13,74.6,51,62,58,90.7,72.9,64,1
1,10,61.5,47,55,54,64.7,59.8,19,0
99,12,66.7,63,69,58,68.7,65,80,0
99,9,48.5,63,58,59,55.7,46.8,72,0
1,10,73.6,63,69,59,69.7,71.9,71,0
1,5,58.1,65,66,56,65.7,56.4,36,0
1,9,61.2,54,53,58,70.7,59.5,24,1
1,16,84,66,72,55,84.7,82.3,25,1
99,3,56.4,62,67,59,62.7,54.7,90,1
99,13,62.8,54,57,55,70.7,61.1,44,1
1,11,63.6,59,61,58,58.7,61.9,64,1
99,8,59.4,59,53,56,71.7,57.7,12,0
99,17,84.3,60,68,55,78.7,82.6,25,1
1,11,72.5,48,55,59,87.7,70.8,27,0
0,0,87.5,54,74,60,86.7,85.8,50,1
0,0,65.8,63,59,56,77.7,64.1,42,1
0,0,71.5,52,59,56,69.7,69.8,17,0
1,12,52.2,56,59,55,47.7,50.5,24,0
99,15,84.9,56,64,55,81.7,83.2,29,1
99,14,73.8,53,64,56,73.7,72.1,41,1
1,11,70.2,63,62,54,91.7,68.5,19,0
1,18,87.8,56,74,57,88.7,86.1,34,1
1,11,75.1,60,65,57,73.7,73.4,56,1
1,11,70.4,52,59,57,76.7,68.7,34,1
99,9,72.8,48,50,55,75.7,71.1,14,0
1,9,55.9,63,57,59,68.7,54.2,72,0
1,6,54.6,55,54,60,52.7,52.9,39,1
1,12,68.7,66,61,57,79.7,67,34,1
1,11,65,49,56,53,69.7,63.3,6,1
1,14,71.6,62,62,53,72.7,69.9,9,0
1,9,72.2,51,59,55,75.7,70.5,20,0
1,10,71.2,67,65,60,83.7,69.5,79,1
99,17,77.6,55,69,57,75.7,75.9,41,1
1,6,64.4,58,58,55,66.7,62.7,35,1
99,11,60.3,47,50,59,72.7,58.6,36,0
1,12,83.4,66,70,58,85.7,81.7,56,1
99,11,58.8,58,57,56,66.7,57.1,18,0
99,12,76.7,66,73,55,67.7,75,25,1
99,13,72.5,59,65,58,79.7,70.8,32,1
1,15,80.4,49,64,52,89.7,78.7,12,1
99,11,73.1,58,64,51,67.7,71.4,2,1
99,9,63.6,59,62,58,71.7,61.9,32,0
1,6,48,54,56,53,59.7,46.3,21,1
99,5,55.5,58,62,57,69.7,53.8,62,1
99,11,67.4,59,65,56,80.7,65.7,35,1
1,12,64.6,64,62,59,72.7,62.9,80,1
1,14,66.5,63,65,59,75.7,64.8,71,1
1,17,82,53,62,56,87.7,80.3,53,1
1,12,69.5,54,70,55,54.7,67.8,49,1
1,15,68.5,65,67,56,79.7,66.8,24,0
1,12,67.3,55,67,52,53.7,65.6,16,0
1,8,64.4,59,59,59,78.7,62.7,18,0
99,15,77.4,66,71,57,68.7,75.7,69,1
99,6,66.5,56,62,55,77.7,64.8,29,1
1,14,83.7,53,69,54,77.7,82,15,0
99,10,69.3,60,68,55,67.7,67.6,45,1
1,17,72.8,63,64,58,83.7,71.1,47,1
1,9,51.3,64,64,56,51.7,49.6,30,1
99,10,71.2,61,62,54,68.7,69.5,24,1
1,15,82,58,65,51,80.7,80.3,5,1
1,11,72.6,54,63,58,67.7,70.9,39,0
99,4,47.7,59,53,58,52.7,46,16,0
1,14,78.9,57,66,58,75.7,77.2,15,1
1,8,76.9,60,58,56,83.7,75.2,30,1
1,16,68.7,60,71,55,68.7,67,39,1
1,7,50.8,66,65,58,44.7,49.1,55,0
1,6,49.5,60,54,57,70.7,47.8,49,1
1,14,64.3,67,73,60,69.7,62.6,99,1
1,16,92.9,58,65,53,93.7,91,21,1
1,10,56.6,50,56,58,47.7,54.9,39,0
1,7,58.7,56,58,56,67.7,57,18,0
99,12,71,68,77,60,80.7,69.3,70,0
99,8,76.3,56,62,54,83.7,74.6,12,1
99,6,64.9,52,60,55,71.7,63.2,49,1
1,11,72.8,60,69,51,62.7,71.1,8,1
1,9,65.2,67,75,56,62.7,63.5,54,1
99,5,53.4,57,59,56,63.7,51.7,41,0
1,12,50.4,66,65,57,46.7,48.7,48,1
1,9,77.7,65,70,56,82.7,76,53,0
1,13,82.1,58,61,55,93.7,80.4,35,1
99,11,57.8,59,63,58,71.7,56.1,32,0
1,8,67.3,55,60,58,79.7,65.6,31,0
1,11,65.3,49,60,57,54.7,63.6,27,1
99,15,84.9,57,72,59,91.7,83.2,35,1
1,12,76.7,64,63,55,72.7,75,30,1
1,15,82.7,65,81,58,75.7,81,63,1
1,11,74.7,63,69,54,73.7,73,23,0
1,9,53.3,64,68,59,52.7,51.6,45,1
1,7,69.8,53,57,52,72.7,68.1,13,1
99,6,64.5,63,60,59,76.7,62.8,72,1
1,8,74.3,57,57,55,87.7,72.6,20,0
99,12,62.3,69,65,58,71.7,60.6,80,1
99,7,65.4,59,64,58,60.7,63.7,48,1
99,5,56.1,66,61,59,64.7,54.4,81,1
1,15,72.4,57,73,60,66.7,70.7,100,1
1,14,78.6,61,63,56,90.7,76.9,47,1
1,8,57.5,64,66,58,65.7,55.8,24,1
1,8,73.5,62,67,55,87.7,71.8,24,1
99,12,67,54,54,55,73.7,65.3,14,0
1,10,64.6,54,67,57,60.7,62.9,48,1
99,18,81.2,48,54,53,80.7,79.5,9,0
1,5,55.8,60,61,58,69.7,54.1,39,0
1,12,73.9,60,67,55,76.7,72.2,29,0
1,5,48.4,49,54,57,56.7,46.7,28,0
1,14,80.8,56,70,57,71.7,79.1,35,1
1,16,68.9,64,65,57,73.7,67.2,70,0
1,9,48.7,58,63,57,40.7,47,69,1
1,9,65.8,52,56,51,57.7,64.1,10,0
1,12,57.1,59,61,56,54.7,55.4,48,1
1,15,79.8,59,73,60,74.7,78.1,19,1
1,14,74.4,48,62,51,73.7,72.7,9,1
1,6,42.7,60,57,59,42.7,41,27,1
1,11,63.5,66,67,55,53.7,61.8,24,0
1,8,64.5,63,59,54,53.7,62.8,19,1
1,13,80.2,52,66,58,92.7,78.5,8,1
1,8,59,65,67,56,61.7,57.3,42,1
1,18,86.5,63,70,56,87.7,84.8,35,1
99,11,72.4,59,66,59,82.7,70.7,71,0
1,15,79.8,65,72,56,84.7,78.1,36,1
99,11,56.4,55,57,52,65.7,54.7,13,0
1,13,81.9,56,59,55,88.7,80.2,5,0
99,13,75.6,57,75,59,70.7,73.9,71,1
1,16,86.2,51,66,55,90.7,84.5,19,1
99,12,64.8,62,60,58,72.7,63.1,40,1
99,9,72.4,54,61,55,90.7,70.7,29,1
99,15,84.9,59,66,59,91.7,83.2,17,1
99,13,84.7,58,66,54,89.7,83,12,1
1,17,89.8,52,67,58,85.7,88.1,56,0
99,12,74.1,63,67,56,76.7,72.4,47,0
1,13,65.5,64,69,55,76.7,63.8,35,0
1,8,69.6,53,57,57,65.7,67.9,42,1
1,10,47.2,58,58,58,38.7,45.5,39,1
99,11,66.1,57,63,58,69.7,64.4,32,1
99,10,66.6,66,64,55,71.7,64.9,40,0
99,12,71.2,57,64,60,85.7,69.5,80,1
99,16,79,45,64,52,82.7,77.3,14,1
1,17,78.1,65,74,60,75.7,76.4,99,1
99,12,76.6,47,58,60,82.7,74.9,39,1
1,16,71.1,58,61,58,74.7,69.4,55,1
1,11,67.4,60,71,57,75.7,65.7,63,1
99,10,76.9,49,52,52,85.7,75.2,8,0
1,6,64.7,60,61,57,71.7,63,55,1
1,5,60.6,57,59,58,56.7,58.9,79,1
1,12,69.4,52,63,59,74.7,67.7,80,1
1,4,45.2,64,57,55,46.7,43.5,44,1
1,10,59.8,62,61,51,73.7,58.1,6,1
99,9,58.5,54,57,53,79.7,56.8,17,0
99,14,73.6,52,68,59,68.7,71.9,62,0
99,13,68.3,55,65,59,77.7,66.6,17,1
99,14,67.3,58,59,54,70.7,65.6,4,0
1,13,70.5,48,0,60,73.7,68.8,0,1
99,18,88.3,67,0,58,83.7,86.6,0,1
1,13,68.1,47,0,56,82.7,66.4,0,0
1,9,72.4,63,0,58,85.7,70.7,0,0
1,12,81.7,60,0,58,94.7,80,0,1
1,0,83.3,59,76,56,82.7,81.6,48,1
1,8,60,46,52,59,56.7,58.3,26,1
1,10,50,63,60,59,54.7,48.3,35,1
1,15,68.3,53,62,56,74.7,66.6,23,1
1,6,61.4,57,55,57,75.7,59.7,27,1
99,9,68.4,59,68,54,58.7,66.7,27,1
